tyear,tmonth,period,allItemsYearOn,allItemsAverage,foodYearOn,foodAverage,allItemsLessFrmProdYearOn,allItemsLessFrmProdAverage,allItemsLessFrmProdAndEnergyYearOn,allItemsLessFrmProdAndEnergyAvg,date
2025,10,October 2025,16.05,22.02,13.12,21.96,18.12,21.39,18.69,21.61,2025-10-01
2025,9,September 2025,18.02,23.46,16.87,24.06,19.1,22.15,19.53,22.39,2025-09-01
2025,8,August 2025,20.12,24.66,21.87,25.75,20.1,22.77,20.33,23.04,2025-08-01
2025,7,July 2025,21.88,25.65,22.74,26.97,21.38,23.29,21.33,23.63,2025-07-01
2025,6,June 2025,22.22,26.6,21.97,28.28,22.43,23.69,22.76,24.14,2025-06-01
2025,5,May 2025,22.97,27.55,21.14,29.8,23.28,24.02,22.28,24.51,2025-05-01
2025,4,April 2025,23.71,28.46,21.26,31.43,24.5,24.27,23.39,24.91,2025-04-01
2025,3,March 2025,24.23,29.3,21.79,33.1,24.15,24.39,24.43,25.2,2025-03-01
2025,2,February 2025,23.18,30.09,23.51,34.74,22.06,24.49,23.01,25.33,2025-02-01
2025,1,January 2025,24.48,30.88,26.08,36.09,21.93,24.73,22.59,25.53,2025-01-01
2024,12,December 2024,15.44,31.43,17.94,37.03,12.48,24.9,13.05,25.66,2024-12-01
2024,11,November 2024,34.6,32.77,39.93,38.67,27.87,25.91,28.75,26.64,2024-11-01
2024,10,October 2024,33.88,32.26,39.16,38.12,27.42,25.48,28.37,26.12,2024-10-01
2024,9,September 2024,32.7,31.73,37.77,37.53,26.49,25.08,27.43,25.64,2024-09-01
2024,8,August 2024,32.15,31.26,37.52,36.99,26.36,24.72,27.58,25.18,2024-08-01
2024,7,July 2024,33.4,30.76,39.53,36.36,26.28,24.33,27.47,24.65,2024-07-01
2024,6,June 2024,34.19,30.0,40.87,35.35,26.53,23.87,27.4,24.06,2024-06-01
2024,5,May 2024,33.95,29.06,40.66,34.06,26.36,23.35,27.04,23.45,2024-05-01
2024,4,April 2024,33.69,28.1,40.53,32.74,26.18,22.82,26.84,22.84,2024-04-01
2024,3,March 2024,33.2,27.13,40.01,31.4,25.39,22.31,25.9,22.26,2024-03-01
2024,2,February 2024,31.7,26.18,37.92,30.07,24.67,21.84,25.13,21.72,2024-02-01
2024,1,January 2024,29.9,25.35,35.41,28.91,23.44,21.35,23.59,21.15,2024-01-01
2023,12,December 2023,28.92,24.66,33.93,27.96,23.07,20.99,23.06,20.76,2023-12-01
2023,11,November 2023,28.2,24.01,32.84,27.09,22.55,20.61,22.38,20.35,2023-11-01
2023,10,October 2023,27.33,23.44,31.52,26.33,22.69,20.25,22.58,19.98,2023-10-01
2023,9,September 2023,26.72,22.9,30.64,25.65,22.1,19.83,21.84,19.55,2023-09-01
2023,8,August 2023,25.8,22.38,29.34,25.01,21.54,19.45,21.15,19.18,2023-08-01
2023,7,July 2023,24.08,21.92,26.98,24.46,20.8,19.08,20.47,18.84,2023-07-01
2023,6,June 2023,22.79,21.54,25.25,24.03,20.27,18.71,20.06,18.47,2023-06-01
2023,5,May 2023,22.41,21.2,24.82,23.65,20.06,18.33,19.83,18.11,2023-05-01
2023,4,April 2023,22.22,20.82,24.61,23.22,20.14,17.91,19.96,17.7,2023-04-01
2023,3,March 2023,22.04,20.37,24.45,22.72,19.86,17.41,19.63,17.22,2023-03-01
2023,2,February 2023,21.91,19.87,24.35,22.12,18.84,16.92,18.37,16.75,2023-02-01
2023,1,January 2023,21.82,19.36,24.32,21.53,19.16,16.52,18.88,16.41,2023-01-01
2022,12,December 2022,21.34,18.85,23.75,20.94,18.49,16.08,18.21,16.02,2022-12-01
2022,11,November 2022,21.47,18.37,24.13,20.41,18.24,15.69,17.99,15.69,2022-11-01
2022,10,October 2022,21.09,17.86,23.72,19.83,17.76,15.31,17.46,15.38,2022-10-01
2022,9,September 2022,20.77,17.43,23.34,19.36,17.6,14.93,17.49,15.07,2022-09-01
2022,8,August 2022,20.52,17.07,23.12,19.02,17.2,14.6,17.12,14.8,2022-08-01
2022,7,July 2022,19.64,16.75,22.02,18.75,16.26,14.28,16.06,14.53,2022-07-01
2022,6,June 2022,18.6,16.54,20.6,18.62,15.75,14.06,15.7,14.39,2022-06-01
2022,5,May 2022,17.71,16.45,19.5,18.68,14.9,13.83,14.84,14.21,2022-05-01
2022,4,April 2022,16.82,16.45,18.37,18.88,14.18,13.68,14.14,14.12,2022-04-01
2022,3,March 2022,15.92,16.54,17.2,19.21,13.91,13.56,14.05,14.05,2022-03-01
2022,2,February 2022,15.7,16.73,17.11,19.69,14.01,13.46,14.28,13.99,2022-02-01
2022,1,January 2022,15.6,16.87,17.13,20.09,13.87,13.33,14.16,13.88,2022-01-01
2021,12,December 2021,15.63,16.95,17.37,20.4,13.87,13.16,14.35,13.75,2021-12-01
2021,11,November 2021,15.4,16.98,17.21,20.62,13.85,12.96,14.41,13.54,2021-11-01
2021,10,October 2021,15.99,16.96,18.34,20.75,13.24,12.73,13.78,13.31,2021-10-01
2021,9,September 2021,16.63,16.83,19.57,20.71,13.74,12.55,14.36,13.14,2021-09-01
2021,8,August 2021,17.01,16.6,20.3,20.5,13.41,12.29,13.98,12.88,2021-08-01
2021,7,July 2021,17.38,16.3,21.03,20.16,13.72,12.05,14.45,12.64,2021-07-01
2021,6,June 2021,17.75,15.93,21.83,19.72,13.09,11.75,13.68,12.32,2021-06-01
2021,5,May 2021,17.93,15.5,22.28,19.18,13.15,11.5,13.76,12.07,2021-05-01
2021,4,April 2021,18.12,15.04,22.72,18.58,12.74,11.25,13.3,11.81,2021-04-01
2021,3,March 2021,18.17,14.55,22.95,17.93,12.67,11.01,13.22,11.58,2021-03-01
2021,2,February 2021,17.33,14.05,21.79,17.25,12.38,10.77,12.98,11.33,2021-02-01
2021,1,January 2021,16.47,13.62,20.57,16.66,11.85,10.52,12.5,11.08,2021-01-01
2020,12,December 2020,15.75,13.25,19.56,16.17,11.37,10.31,11.83,10.85,2020-12-01
2020,11,November 2020,14.89,12.92,18.3,15.75,11.05,10.14,11.6,10.69,2020-11-01
2020,10,October 2020,14.23,12.66,17.38,15.42,11.14,9.96,11.71,10.52,2020-10-01
2020,9,September 2020,13.71,12.44,16.66,15.13,10.58,9.77,11.16,10.33,2020-09-01
2020,8,August 2020,13.22,12.23,16.0,14.87,10.52,9.64,11.07,10.18,2020-08-01
2020,7,July 2020,12.82,12.05,15.48,14.63,10.1,9.48,10.64,10.03,2020-07-01
2020,6,June 2020,12.56,11.9,15.18,14.46,10.13,9.37,10.57,9.93,2020-06-01
2020,5,May 2020,12.4,11.79,15.04,14.33,10.12,9.27,10.7,9.81,2020-05-01
2020,4,April 2020,12.34,11.71,15.03,14.22,9.98,9.17,10.57,9.72,2020-04-01
2020,3,March 2020,12.26,11.62,14.98,14.11,9.73,9.11,10.22,9.66,2020-03-01
2020,2,February 2020,12.2,11.54,14.9,13.98,9.43,9.09,9.95,9.66,2020-02-01
2020,1,January 2020,12.13,11.46,14.85,13.86,9.35,9.11,9.81,9.7,2020-01-01
2019,12,December 2019,11.98,11.4,14.67,13.74,9.33,9.15,9.95,9.76,2019-12-01
2019,11,November 2019,11.85,11.35,14.48,13.65,8.99,9.19,9.48,9.8,2019-11-01
2019,10,October 2019,11.61,11.3,14.09,13.54,8.88,9.25,9.45,9.88,2019-10-01
2019,9,September 2019,11.24,11.27,13.51,13.47,8.94,9.34,9.43,9.97,2019-09-01
2019,8,August 2019,11.02,11.27,13.17,13.46,8.68,9.41,9.22,10.05,2019-08-01
2019,7,July 2019,11.08,11.29,13.39,13.46,8.8,9.52,9.42,10.17,2019-07-01
2019,6,June 2019,11.22,11.3,13.56,13.42,8.84,9.64,9.35,10.29,2019-06-01
2019,5,May 2019,11.4,11.3,13.79,13.37,9.03,9.77,9.64,10.44,2019-05-01
2019,4,April 2019,11.37,11.31,13.7,13.34,9.28,9.91,9.94,10.61,2019-04-01
2019,3,March 2019,11.25,11.4,13.45,13.42,9.46,10.04,10.24,10.75,2019-03-01
2019,2,February 2019,11.31,11.56,13.47,13.62,9.8,10.19,10.53,10.88,2019-02-01
2019,1,January 2019,11.37,11.8,13.51,13.93,9.9,10.34,10.62,11.02,2019-01-01
2018,12,December 2018,11.44,12.1,13.56,14.35,9.8,10.51,10.43,11.19,2018-12-01
2018,11,November 2018,11.28,12.41,13.3,14.8,9.79,10.7,10.44,11.37,2018-11-01
2018,10,October 2018,11.26,12.78,13.28,15.36,9.88,10.9,10.49,11.56,2018-10-01
2018,9,September 2018,11.28,13.16,13.31,15.92,9.84,11.09,10.48,11.74,2018-09-01
2018,8,August 2018,11.23,13.55,13.16,16.5,10.02,11.28,10.62,11.93,2018-08-01
2018,7,July 2018,11.14,13.95,12.85,17.1,10.18,11.48,10.81,12.11,2018-07-01
2018,6,June 2018,11.23,14.37,12.98,17.75,10.39,11.65,11.19,12.25,2018-06-01
2018,5,May 2018,11.61,14.79,13.45,18.36,10.71,11.83,11.6,12.32,2018-05-01
2018,4,April 2018,12.48,15.2,14.8,18.89,10.92,12.02,11.64,12.38,2018-04-01
2018,3,March 2018,13.34,15.6,16.08,19.29,11.18,12.33,11.85,12.55,2018-03-01
2018,2,February 2018,14.33,15.93,17.59,19.52,11.71,12.67,12.34,12.69,2018-02-01
2018,1,January 2018,15.13,16.22,18.92,19.62,12.09,13.01,12.68,12.82,2018-01-01
2017,12,December 2017,15.37,16.5,19.42,19.55,12.09,13.46,12.6,12.97,2017-12-01
2017,11,November 2017,15.9,16.76,20.31,19.39,12.21,13.93,12.75,13.13,2017-11-01
2017,10,October 2017,15.91,16.97,20.31,19.14,12.14,14.41,12.72,13.3,2017-10-01
2017,9,September 2017,15.98,17.17,20.32,18.88,12.12,14.9,12.72,13.45,2017-09-01
2017,8,August 2017,16.01,17.33,20.25,18.57,12.3,15.37,12.7,13.57,2017-08-01
2017,7,July 2017,16.05,17.47,20.28,18.25,12.21,15.8,12.35,13.68,2017-07-01
2017,6,June 2017,16.1,17.58,19.91,17.87,12.46,16.22,12.02,13.79,2017-06-01
2017,5,May 2017,16.25,17.63,19.27,17.48,13.02,16.57,12.2,13.91,2017-05-01
2017,4,April 2017,17.24,17.59,19.3,17.11,14.75,16.77,13.74,13.94,2017-04-01
2017,3,March 2017,17.26,17.32,18.44,16.6,15.4,16.68,13.58,13.71,2017-03-01
2017,2,February 2017,17.78,16.96,18.53,16.13,16.01,16.44,13.97,13.44,2017-02-01
2017,1,January 2017,18.72,16.44,17.82,15.54,17.87,16.04,14.54,13.08,2017-01-01
2016,12,December 2016,18.55,15.7,17.39,14.95,18.05,15.31,14.7,12.59,2016-12-01
2016,11,November 2016,18.48,14.96,17.19,14.39,18.24,14.54,14.87,12.07,2016-11-01
2016,10,October 2016,18.33,14.21,17.09,13.82,18.07,13.76,14.58,11.54,2016-10-01
2016,9,September 2016,17.85,13.45,16.62,13.24,17.67,12.98,14.12,11.04,2016-09-01
2016,8,August 2016,17.61,12.74,16.43,12.7,17.21,12.25,13.88,10.59,2016-08-01
2016,7,July 2016,17.13,12.04,15.8,12.16,16.93,11.55,13.63,10.17,2016-07-01
2016,6,June 2016,16.48,11.37,15.3,11.67,16.22,10.86,13.32,9.75,2016-06-01
2016,5,May 2016,15.58,10.75,14.86,11.22,15.05,10.2,12.3,9.32,2016-05-01
2016,4,April 2016,13.72,10.18,13.19,10.79,13.35,9.61,10.79,8.98,2016-04-01
2016,3,March 2016,12.77,9.75,12.74,10.47,12.17,9.13,10.31,8.72,2016-03-01
2016,2,February 2016,11.38,9.39,11.35,10.18,11.04,8.73,9.48,8.48,2016-02-01
2016,1,January 2016,9.62,9.13,10.64,10.02,8.84,8.39,8.53,8.28,2016-01-01
2015,12,December 2015,9.55,9.01,10.59,9.9,8.73,8.22,8.44,8.16,2015-12-01
2015,11,November 2015,9.37,8.88,10.32,9.78,8.73,8.02,8.49,7.98,2015-11-01
2015,10,October 2015,9.3,8.76,10.13,9.68,8.74,7.81,8.57,7.8,2015-10-01
2015,9,September 2015,9.4,8.7,10.2,9.6,8.9,7.6,8.7,7.6,2015-09-01
2015,8,August 2015,9.3,8.6,10.1,9.6,9.0,7.4,8.8,7.4,2015-08-01
2015,7,July 2015,9.2,8.5,10.0,9.6,8.8,7.2,8.7,7.2,2015-07-01
2015,6,June 2015,9.2,8.4,10.0,9.5,8.4,7.0,8.4,7.1,2015-06-01
2015,5,May 2015,9.0,8.3,9.8,9.5,8.3,7.0,8.3,7.1,2015-05-01
2015,4,April 2015,8.7,8.2,9.5,9.5,7.7,6.9,7.7,7.1,2015-04-01
2015,3,March 2015,8.5,8.2,9.4,9.5,7.5,6.9,7.5,7.1,2015-03-01
2015,2,February 2015,8.4,8.1,9.4,9.5,7.0,6.9,7.1,7.1,2015-02-01
2015,1,January 2015,8.2,8.1,9.2,9.5,6.8,6.9,7.1,7.1,2015-01-01
2014,12,December 2014,8.0,8.0,9.2,9.5,6.2,6.9,6.3,7.2,2014-12-01
2014,11,November 2014,7.9,8.0,9.1,9.5,6.3,7.0,6.3,7.3,2014-11-01
2014,10,October 2014,8.1,8.0,9.3,9.5,6.3,7.1,6.3,7.4,2014-10-01
2014,9,September 2014,8.3,8.0,9.7,9.5,6.3,7.2,6.2,7.6,2014-09-01
2014,8,August 2014,8.5,8.0,10.0,9.5,6.3,7.3,6.6,7.7,2014-08-01
2014,7,July 2014,8.3,8.0,9.9,9.5,7.1,7.4,7.1,7.7,2014-07-01
2014,6,June 2014,8.2,8.0,9.8,9.5,8.1,7.4,9.0,7.6,2014-06-01
2014,5,May 2014,8.0,8.0,9.7,9.4,7.7,7.2,8.6,7.2,2014-05-01
2014,4,April 2014,7.9,8.1,9.4,9.4,7.5,7.0,7.6,6.9,2014-04-01
2014,3,March 2014,7.8,8.2,9.3,9.5,6.8,7.0,6.7,6.7,2014-03-01
2014,2,February 2014,7.7,8.3,9.2,9.5,7.2,7.0,8.0,6.6,2014-02-01
2014,1,January 2014,8.0,8.4,9.3,9.6,6.6,7.3,7.4,6.7,2014-01-01
2013,12,December 2013,8.0,8.5,9.3,9.7,7.9,7.7,8.0,6.8,2013-12-01
2013,11,November 2013,7.9,8.8,9.3,9.8,7.8,8.1,7.8,7.1,2013-11-01
2013,10,October 2013,7.8,9.2,9.2,10.0,7.6,8.6,7.6,7.5,2013-10-01
2013,9,September 2013,8.0,9.5,9.4,10.1,7.4,8.9,7.3,7.8,2013-09-01
2013,8,August 2013,8.2,9.8,9.7,10.2,7.2,9.4,6.7,8.2,2013-08-01
2013,7,July 2013,8.7,10.0,10.0,10.2,6.6,10.0,6.3,8.7,2013-07-01
2013,6,June 2013,8.4,10.4,9.6,10.4,5.5,10.7,4.4,9.3,2013-06-01
2013,5,May 2013,9.0,10.8,9.3,10.5,6.2,11.5,4.1,10.1,2013-05-01
2013,4,April 2013,9.1,11.1,10.0,10.8,6.9,12.3,5.6,11.0,2013-04-01
2013,3,March 2013,8.6,11.4,9.5,11.0,7.2,13.0,6.3,11.7,2013-03-01
2013,2,February 2013,9.5,11.7,11.0,11.2,11.2,13.7,8.58,12.44,2013-02-01
2013,1,January 2013,9.0,11.9,10.1,11.1,11.3,13.7,8.59,12.75,2013-01-01
2012,12,December 2012,12.0,12.2,10.2,11.3,13.7,13.9,12.9,13.3,2012-12-01
2012,11,November 2012,12.3,12.1,11.6,11.4,13.1,13.6,12.3,13.0,2012-11-01
2012,10,October 2012,11.7,11.9,11.1,11.2,12.4,13.5,11.4,12.9,2012-10-01
2012,9,September 2012,11.3,11.9,10.2,11.1,13.1,13.5,12.2,12.9,2012-09-01
2012,8,August 2012,11.7,11.8,9.9,11.1,14.7,13.3,13.2,12.7,2012-08-01
2012,7,July 2012,12.8,11.6,12.1,11.0,15.0,13.0,13.8,12.4,2012-07-01
2012,6,June 2012,12.9,11.3,12.0,10.6,15.2,12.7,13.7,12.1,2012-06-01
2012,5,May 2012,12.7,11.1,12.9,10.4,14.9,12.4,14.5,11.8,2012-05-01
2012,4,April 2012,12.9,11.1,11.2,10.3,14.7,12.2,14.3,11.6,2012-04-01
2012,3,March 2012,12.1,10.9,11.8,10.3,15.0,12.1,14.47,11.38,2012-03-01
2012,2,February 2012,11.9,11.0,9.7,10.3,11.9,11.9,12.03,11.18,2012-02-01
2012,1,January 2012,12.6,10.9,13.1,10.5,12.7,11.8,14.3,11.01,2012-01-01
2011,12,December 2011,10.3,10.8,11.0,10.3,10.8,11.7,9.9,10.7,2011-12-01
2011,11,November 2011,10.5,11.0,9.6,10.4,11.5,11.7,11.0,10.7,2011-11-01
2011,10,October 2011,10.5,11.1,9.7,10.8,11.5,11.7,11.7,11.7,2011-10-01
2011,9,September 2011,10.3,11.4,9.5,11.2,11.6,11.9,9.9,10.9,2011-09-01
2011,8,August 2011,9.3,11.6,8.7,11.6,10.9,12.0,9.7,11.2,2011-08-01
2011,7,July 2011,9.4,12.0,7.9,12.1,11.5,12.1,10.2,11.5,2011-07-01
2011,6,June 2011,10.2,12.3,9.2,12.7,11.5,12.1,10.3,11.5,2011-06-01
2011,5,May 2011,12.4,12.6,12.2,13.2,13.0,12.2,11.7,11.7,2011-05-01
2011,4,April 2011,11.3,12.7,11.6,13.2,12.9,12.1,12.2,11.7,2011-04-01
2011,3,March 2011,12.8,13.0,12.2,13.6,12.8,12.1,12.3,11.6,2011-03-01
2011,2,February 2011,11.1,13.2,12.2,13.9,10.6,12.1,10.0,11.6,2011-02-01
2011,1,January 2011,12.1,13.5,10.3,14.2,12.1,12.4,10.1,11.9,2011-01-01
2010,12,December 2010,11.8,13.7,12.7,14.7,10.9,12.4,10.4,12.0,2010-12-01
2010,11,November 2010,12.8,13.9,14.4,15.0,11.7,12.4,11.3,12.1,2010-11-01
2010,10,October 2010,13.4,13.9,14.1,14.9,13.2,12.3,13.0,12.0,2010-10-01
2010,9,September 2010,13.6,13.8,14.6,14.9,12.8,12.0,13.4,11.8,2010-09-01
2010,8,August 2010,13.7,13.5,15.1,14.7,12.4,11.5,13.0,11.4,2010-08-01
2010,7,July 2010,13.0,13.3,14.0,14.5,11.3,11.2,10.6,11.1,2010-07-01
2010,6,June 2010,14.1,13.1,15.1,14.4,12.7,10.9,12.42,11.24,2010-06-01
2010,5,May 2010,12.9,12.9,13.0,14.3,11.7,10.6,11.64,10.98,2010-05-01
2010,4,April 2010,15.0,12.9,16.3,14.5,12.8,10.4,11.69,11.04,2010-04-01
2010,3,March 2010,14.8,12.8,15.8,14.4,13.2,10.3,12.35,11.16,2010-03-01
2010,2,February 2010,15.6,12.7,16.2,14.4,14.0,10.1,13.39,11.37,2010-02-01
2010,1,January 2010,14.4,12.6,15.9,14.7,12.1,9.6,10.8,11.01,2010-01-01
2009,12,December 2009,13.9,12.5,15.5,14.8,11.2,9.2,11.12,11.15,2009-12-01
2009,11,November 2009,12.4,12.6,13.5,15.0,10.7,9.1,11.0,11.5,2009-11-01
2009,10,October 2009,11.6,12.8,13.5,15.4,8.9,9.0,9.4,11.7,2009-10-01
2009,9,September 2009,10.4,13.1,12.5,15.9,7.4,8.9,9.3,11.8,2009-09-01
2009,8,August 2009,11.0,13.3,12.7,16.3,8.0,8.9,9.26,11.76,2009-08-01
2009,7,July 2009,11.1,13.4,12.9,16.8,8.3,8.6,12.34,11.55,2009-07-01
2009,6,June 2009,11.2,13.7,13.1,17.5,8.5,8.3,9.31,11.08,2009-06-01
2009,5,May 2009,13.2,13.8,15.7,17.9,9.9,7.8,12.58,10.98,2009-05-01
2009,4,April 2009,13.3,13.5,15.3,17.9,10.9,7.3,13.28,10.24,2009-04-01
2009,3,March 2009,14.4,13.1,16.2,17.7,11.8,6.5,15.31,9.25,2009-03-01
2009,2,February 2009,14.6,12.6,20.0,17.5,7.2,5.6,9.08,7.87,2009-02-01
2009,1,January 2009,14.0,12.0,18.4,16.5,8.0,5.5,12.59,7.65,2009-01-01
2008,12,December 2008,15.1,11.6,18.0,16.1,10.4,5.1,15.29,6.72,2008-12-01
2008,11,November 2008,14.8,10.9,18.1,15.3,9.3,4.5,13.05,4.88,2008-11-01
2008,10,October 2008,14.7,10.1,19.2,14.0,7.9,4.3,11.4,3.44,2008-10-01
2008,9,September 2008,13.0,9.2,17.1,12.3,6.9,4.5,8.33,2.43,2008-09-01
2008,8,August 2008,12.4,8.5,18.8,10.7,3.9,4.8,6.6,2.03,2008-08-01
2008,7,July 2008,14.0,7.8,20.9,9.0,4.8,5.4,6.61,1.93,2008-07-01
2008,6,June 2008,12.0,7.0,18.11,7.41,3.61,5.8,7.96,1.34,2008-06-01
2008,5,May 2008,9.7,6.5,14.7,6.1,3.3,6.3,3.71,0.6,2008-05-01
2008,4,April 2008,8.2,6.1,13.1,5.1,1.2,6.4,1.5,0.6,2008-04-01
2008,3,March 2008,7.8,5.8,12.4,4.2,0.5,6.8,-1.3,1.0,2008-03-01
2008,2,February 2008,8.0,5.5,8.7,3.3,6.4,7.5,6.4,1.9,2008-02-01
2008,1,January 2008,8.6,5.5,12.6,2.9,2.5,7.9,1.4,2.0,2008-01-01
2007,12,December 2007,6.6,5.4,8.2,1.9,3.6,9.2,-6.5,2.9,2007-12-01
2007,11,November 2007,5.2,5.5,3.2,1.5,7.4,10.3,-4.3,5.2,2007-11-01
2007,10,October 2007,4.6,5.7,-0.1,1.7,10.7,10.7,-0.9,7.1,2007-10-01
2007,9,September 2007,4.1,5.9,-0.8,2.1,10.5,10.6,3.7,8.3,2007-09-01
2007,8,August 2007,4.2,6.1,-1.2,2.5,11.2,10.6,5.6,8.9,2007-08-01
2007,7,July 2007,4.8,6.0,1.1,2.4,9.9,10.8,-0.4,9.4,2007-07-01
2007,6,June 2007,6.4,5.9,3.2,2.0,9.6,11.1,-0.3,10.8,2007-06-01
2007,5,May 2007,4.6,6.0,2.4,2.2,4.6,11.5,2.7,12.1,2007-05-01
2007,4,April 2007,4.2,6.5,2.1,2.7,5.4,12.4,6.5,13.1,2007-04-01
2007,3,March 2007,5.2,7.2,1.7,3.3,8.9,13.4,10.2,13.6,2007-03-01
2007,2,February 2007,7.1,7.7,3.3,3.9,11.0,14.0,9.0,13.7,2007-02-01
2007,1,January 2007,8.0,8.0,-0.1,4.4,19.3,14.0,13.2,14.0,2007-01-01
2006,12,December 2006,8.5,8.2,3.9,5.6,17.3,12.8,22.6,13.9,2006-12-01
2006,11,November 2006,7.8,8.5,5.4,6.4,12.1,11.6,18.3,12.8,2006-11-01
2006,10,October 2006,6.1,9.0,4.7,7.5,9.0,11.1,13.1,11.9,2006-10-01
2006,9,September 2006,6.3,10.0,4.3,9.0,10.6,11.2,11.0,11.9,2006-09-01
2006,8,August 2006,3.7,11.4,-2.3,11.0,14.5,11.5,11.9,12.2,2006-08-01
2006,7,July 2006,3.0,13.5,-3.7,14.5,13.6,11.3,15.2,12.3,2006-07-01
2006,6,June 2006,8.5,15.5,6.2,18.0,13.6,11.0,14.0,12.4,2006-06-01
2006,5,May 2006,10.5,16.4,8.6,19.1,14.5,11.2,13.5,12.7,2006-05-01
2006,4,April 2006,12.6,16.9,9.6,19.8,16.6,11.3,11.5,12.8,2006-04-01
2006,3,March 2006,12.0,17.4,9.3,20.7,16.3,11.1,11.8,13.1,2006-03-01
2006,2,February 2006,10.8,17.8,10.5,22.1,11.1,10.0,11.9,12.1,2006-02-01
2006,1,January 2006,10.7,17.9,14.7,22.9,4.3,9.0,11.7,11.4,2006-01-01
2005,12,December 2005,11.6,17.9,15.5,23.1,2.4,8.8,9.1,10.5,2005-12-01
2005,11,November 2005,15.1,17.8,19.7,22.9,6.8,9.1,7.7,9.6,2005-11-01
2005,10,October 2005,18.6,17.4,24.6,22.5,9.4,8.8,13.3,9.3,2005-10-01
2005,9,September 2005,24.3,16.8,29.5,21.8,14.6,8.3,14.7,8.7,2005-09-01
2005,8,August 2005,28.2,15.5,38.5,20.5,12.1,7.4,13.1,8.1,2005-08-01
2005,7,July 2005,26.1,14.2,35.7,18.6,10.7,7.1,16.9,7.9,2005-07-01
2005,6,June 2005,18.6,12.9,18.0,16.6,16.2,6.7,17.8,7.3,2005-06-01
2005,5,May 2005,16.8,12.5,15.7,16.3,16.6,6.5,15.2,7.0,2005-05-01
2005,4,April 2005,17.9,12.6,20.3,16.5,13.8,6.8,14.2,7.0,2005-04-01
2005,3,March 2005,16.3,12.5,25.0,16.0,3.6,7.3,0.7,7.1,2005-03-01
2005,2,February 2005,10.9,12.9,18.7,15.2,-0.4,9.4,3.2,9.2,2005-02-01
2005,1,January 2005,9.8,14.0,15.1,14.8,2.0,12.6,1.2,11.0,2005-01-01
2004,12,December 2004,10.0,15.0,12.1,14.5,5.9,15.5,-1.8,13.1,2004-12-01
2004,11,November 2004,10.0,16.1,15.1,14.8,3.2,17.9,4.6,15.5,2004-11-01
2004,10,October 2004,10.7,17.1,15.4,14.6,3.4,20.7,6.4,17.5,2004-10-01
2004,9,September 2004,9.1,18.2,14.6,14.4,3.6,23.9,6.6,19.3,2004-09-01
2004,8,August 2004,13.0,19.1,16.3,13.7,9.1,26.9,11.4,20.8,2004-08-01
2004,7,July 2004,10.7,19.1,12.2,12.4,5.8,29.0,10.8,21.6,2004-07-01
2004,6,June 2004,14.1,19.4,14.5,11.3,14.7,32.3,14.5,22.6,2004-06-01
2004,5,May 2004,19.8,19.4,18.1,10.6,23.4,33.2,17.5,23.0,2004-05-01
2004,4,April 2004,17.5,18.5,14.4,9.4,22.5,32.9,15.4,22.9,2004-04-01
2004,3,March 2004,22.5,17.8,15.6,8.5,32.6,32.6,27.4,23.2,2004-03-01
2004,2,February 2004,24.8,16.5,14.5,7.2,41.1,31.2,26.4,22.0,2004-02-01
2004,1,January 2004,22.4,15.0,11.9,6.3,38.0,29.0,26.3,20.9,2004-01-01
2003,12,December 2003,23.8,14.0,15.4,6.0,34.8,27.2,25.0,19.8,2003-12-01
2003,11,November 2003,21.3,13.0,12.4,5.4,35.7,26.0,27.8,18.9,2003-11-01
2003,10,October 2003,23.6,12.3,13.2,5.0,40.7,24.6,27.8,17.4,2003-10-01
2003,9,September 2003,18.4,10.7,6.2,4.0,36.3,22.2,22.5,15.8,2003-09-01
2003,8,August 2003,12.4,10.0,0.9,3.9,30.9,20.5,19.9,14.9,2003-08-01
2003,7,July 2003,12.9,10.0,0.1,4.7,41.2,19.0,22.0,13.8,2003-07-01
2003,6,June 2003,14.0,10.1,6.2,6.0,22.2,16.6,17.7,12.3,2003-06-01
2003,5,May 2003,8.7,10.0,3.3,6.3,17.6,16.3,15.5,11.3,2003-05-01
2003,4,April 2003,8.3,10.1,3.3,6.9,16.9,15.6,17.6,10.4,2003-04-01
2003,3,March 2003,5.9,10.5,0.1,7.9,15.4,15.0,13.9,9.4,2003-03-01
2003,2,February 2003,7.3,11.4,3.5,9.7,14.2,14.3,12.1,8.9,2003-02-01
2003,1,January 2003,10.6,12.3,7.5,11.6,16.1,13.4,13.6,8.6,2003-01-01
